architecture,scenario,method,metric,mean,sample_std
wide-512x2,permuted,pc_minus_baseline,backward_transfer,0.004816666666666682,0.005717097894328311
wide-512x2,permuted,pc_minus_baseline,update_seconds_per_1000_samples,0.0002183630498225203,0.00146896928681022
wide-512x2,permuted,pc_minus_baseline,peak_accelerator_memory_bytes,15753216.0,0.0
deep-256x4,static,bp,final_test_accuracy,0.9799000000000001,0.0013114877048603657
deep-256x4,static,bp,final_train_accuracy,0.9975069444444444,0.0004494080468712085
deep-256x4,static,bp,epoch1_validation_accuracy,0.9494722222222222,0.0011824331474329106
deep-256x4,static,bp,epoch1_validation_gain,0.85475,0.0017638342073763883
deep-256x4,static,bp,post_update_curve_mean,0.9726055555555555,0.00019009013456580147
deep-256x4,static,bp,update_seconds_per_1000_samples,0.0219729718901647,0.0006660900806776484
deep-256x4,static,bp,peak_accelerator_memory_bytes,123893248.0,0.0
deep-256x4,static,bp_minus_baseline,final_test_accuracy,-0.002666666666666706,0.0018009256878986726
deep-256x4,static,bp_minus_baseline,final_train_accuracy,0.0006111111111111548,0.0005893783997977948
deep-256x4,static,bp_minus_baseline,epoch1_validation_accuracy,0.004138888888888877,0.0010875984416917584
deep-256x4,static,bp_minus_baseline,epoch1_validation_gain,-0.01866666666666672,0.021858128414339997
deep-256x4,static,bp_minus_baseline,post_update_curve_mean,0.00037222222222221824,0.00025837813231623064
deep-256x4,static,bp_minus_baseline,update_seconds_per_1000_samples,0.0012237159854045047,0.0006516558220012121
deep-256x4,static,bp_minus_baseline,peak_accelerator_memory_bytes,2105344.0,0.0
deep-256x4,static,pc,final_test_accuracy,0.9747666666666666,0.0020816659994661348
deep-256x4,static,pc,final_train_accuracy,0.9895833333333334,0.0012407644932773021
deep-256x4,static,pc,epoch1_validation_accuracy,0.9120833333333334,0.001855921454276699
deep-256x4,static,pc,epoch1_validation_gain,0.8173611111111111,0.0023589859717291876
deep-256x4,static,pc,post_update_curve_mean,0.9596972222222222,0.0006488415602982786
deep-256x4,static,pc,update_seconds_per_1000_samples,0.04660114507264462,0.0007353959926120746
deep-256x4,static,pc,peak_accelerator_memory_bytes,135729664.0,0.0
deep-256x4,static,pc_minus_baseline,final_test_accuracy,-0.0077666666666666995,0.0023180451534285315
deep-256x4,static,pc_minus_baseline,final_train_accuracy,-0.0074027777777777954,0.0014020900404330173
deep-256x4,static,pc_minus_baseline,epoch1_validation_accuracy,-0.03325,0.0015567951410224987
deep-256x4,static,pc_minus_baseline,epoch1_validation_gain,-0.0560555555555556,0.02119377092274809
deep-256x4,static,pc_minus_baseline,post_update_curve_mean,-0.012680555555555547,0.0006354314661299169
deep-256x4,static,pc_minus_baseline,update_seconds_per_1000_samples,0.010576444512342055,0.0012084777917926622
deep-256x4,static,pc_minus_baseline,peak_accelerator_memory_bytes,8279040.0,0.0
deep-256x4,split,bp,final_average_accuracy,0.11191796940662296,0.020717847818541975
deep-256x4,split,bp,prequential_accuracy,0.3872569444444444,0.021937236201853828
deep-256x4,split,bp,mean_adaptation_gain,0.7075331136981297,0.07303835569033494
deep-256x4,split,bp,average_forgetting,0.7830926104274251,0.059933110614037714
deep-256x4,split,bp,backward_transfer,-0.7830926104274251,0.059933110614037714
deep-256x4,split,bp,update_seconds_per_1000_samples,0.025299150725287614,0.0018929919820569242
deep-256x4,split,bp,peak_accelerator_memory_bytes,123648512.0,0.0
deep-256x4,split,bp_minus_baseline,final_average_accuracy,-0.06925533703143387,0.014350589689108453
deep-256x4,split,bp_minus_baseline,prequential_accuracy,-0.22691666666666666,0.013479649656467732
deep-256x4,split,bp_minus_baseline,mean_adaptation_gain,-0.23780855119525446,0.07961810841150728
deep-256x4,split,bp_minus_baseline,average_forgetting,-0.18295314103022886,0.06375138005699091
deep-256x4,split,bp_minus_baseline,backward_transfer,0.18295314103022886,0.06375138005699091
deep-256x4,split,bp_minus_baseline,update_seconds_per_1000_samples,0.004207869428612934,0.0018459518268542183
deep-256x4,split,bp_minus_baseline,peak_accelerator_memory_bytes,2105344.0,0.0
deep-256x4,split,pc,final_average_accuracy,0.10058833417381073,0.002038049361738463
deep-256x4,split,pc,prequential_accuracy,0.3230138888888889,0.03239802600653888
deep-256x4,split,pc,mean_adaptation_gain,0.6550827425918498,0.12361761556856134
deep-256x4,split,pc,average_forgetting,0.7316916905855907,0.09247085686770998
deep-256x4,split,pc,backward_transfer,-0.7316916905855907,0.09247085686770998
deep-256x4,split,pc,update_seconds_per_1000_samples,0.05158223758974603,0.0019201346827687632
deep-256x4,split,pc,peak_accelerator_memory_bytes,135733760.0,0.0
deep-256x4,split,pc_minus_baseline,final_average_accuracy,-0.06858295511850732,0.0143085888542366
deep-256x4,split,pc_minus_baseline,prequential_accuracy,-0.24882638888888886,0.05101821882053873
deep-256x4,split,pc_minus_baseline,mean_adaptation_gain,-0.27582294665343726,0.12945922641403157
deep-256x4,split,pc_minus_baseline,average_forgetting,-0.2313116127441156,0.0854621872151621
deep-256x4,split,pc_minus_baseline,backward_transfer,0.2313116127441156,0.0854621872151621
deep-256x4,split,pc_minus_baseline,update_seconds_per_1000_samples,0.01350118928204234,0.00159977447080259
deep-256x4,split,pc_minus_baseline,peak_accelerator_memory_bytes,8279040.0,0.0
deep-256x4,permuted,bp,final_average_accuracy,0.8363999999999999,0.01877601661695042
deep-256x4,permuted,bp,prequential_accuracy,0.8652569444444445,0.0017298459174586197
deep-256x4,permuted,bp,mean_adaptation_gain,0.8474066666666666,0.0037311839050539045
deep-256x4,permuted,bp,average_forgetting,0.149625,0.023193088949081363
deep-256x4,permuted,bp,backward_transfer,-0.149625,0.023193088949081363
deep-256x4,permuted,bp,update_seconds_per_1000_samples,0.027556338924909492,0.00012206247258097961
deep-256x4,permuted,bp,peak_accelerator_memory_bytes,123856384.0,0.0
deep-256x4,permuted,bp_minus_baseline,final_average_accuracy,-0.07352000000000003,0.017972990847379806
deep-256x4,permuted,bp_minus_baseline,prequential_accuracy,-0.002673611111111122,0.001695220678303612
deep-256x4,permuted,bp_minus_baseline,mean_adaptation_gain,-0.009726666666666698,0.00405632017145271
deep-256x4,permuted,bp_minus_baseline,average_forgetting,0.09608333333333335,0.023505868061684806
deep-256x4,permuted,bp_minus_baseline,backward_transfer,-0.09608333333333335,0.023505868061684806
deep-256x4,permuted,bp_minus_baseline,update_seconds_per_1000_samples,0.003376336915085598,0.00028897407469191384
deep-256x4,permuted,bp_minus_baseline,peak_accelerator_memory_bytes,2105344.0,0.0
deep-256x4,permuted,pc,final_average_accuracy,0.5236866666666666,0.013104874411200323
deep-256x4,permuted,pc,prequential_accuracy,0.7618388888888888,0.012202219980548788
deep-256x4,permuted,pc,mean_adaptation_gain,0.8125533333333332,0.006251602461236168
deep-256x4,permuted,pc,average_forgetting,0.492475,0.01681611949886181
deep-256x4,permuted,pc,backward_transfer,-0.492475,0.01681611949886181
deep-256x4,permuted,pc,update_seconds_per_1000_samples,0.05353320580069537,0.0005315956479727624
deep-256x4,permuted,pc,peak_accelerator_memory_bytes,135733760.0,0.0
deep-256x4,permuted,pc_minus_baseline,final_average_accuracy,-0.39226,0.02054708738483388
deep-256x4,permuted,pc_minus_baseline,prequential_accuracy,-0.10652222222222225,0.01140852913556509
deep-256x4,permuted,pc_minus_baseline,mean_adaptation_gain,-0.04474666666666671,0.008890316829749965
deep-256x4,permuted,pc_minus_baseline,average_forgetting,0.44665,0.02446281617067015
deep-256x4,permuted,pc_minus_baseline,backward_transfer,-0.44665,0.02446281617067015
deep-256x4,permuted,pc_minus_baseline,update_seconds_per_1000_samples,0.012802819473681186,0.0014554131959210483
deep-256x4,permuted,pc_minus_baseline,peak_accelerator_memory_bytes,8279040.0,0.0
